oficina em debito	Atendimento	Placa	Modelo	km	Relato 	Data Agenda	Focal	Reparo	Tipo de Manutenção	Aprovação 	 Valor do Orçamento 	 Valor Negociado 	Centro de Custo	Operação	Status	Previsão	Liberado	D+Manut	Status2	Oficina	Lider Base	Mês	Base
		SGK7D70	TRANSIT FURGÃO		Funilaria dianteira total	20/02/2025	Vinicius	Sinistro	Corretiva	Aprovado	 R$ 22.000,00 	 R$ 22.000,00 	SSP8	MERCADO LIVRE	Sinistro	13/11/2025		270	Fora do Prazo	GR Car	Gabriela	Fev	SC (SAO JOSE DOS CAMPOS) SSP8
		SDT9G04	E-Jumpy Furgão 2P	34254	Funilaria lateral esquerda traseira.	20/03/2025	Vinicius	Sinistro	Corretiva	Aprovado	 R$ 19.364,98 	 R$ 19.364,98 	SRS1	MERCADO LIVRE	Sinistro	13/11/2025		197	Fora do Prazo	Safety Car	ALESSANDRA	Set	SC (PORTO ALEGRE) SRS1
		RTM6B63	Master Furgão 8m³	N/E	Veículo sofreu uma colisão no baú	10/07/2025	Vinicius	Sinistro	Corretiva	Aprovado			SRS1	MERCADO LIVRE	Sinistro	Aguardando aprovação		130	Fora do Prazo	Safety Car		Set	SC (PORTO ALEGRE) SRS1
		FMO8E22	 Partner Rapid Business Pack 1.4 2P		Colisão não informada da base		Vinicius	Sinistro	Corretiva				SGO1	MERCADO LIVRE	Sinistro	19/11/2025		0	Dentro do Prazo	Auto reformadora Santos		Nov	#N/D
		RUX2J10	 Partner Rapid Business Pack 1.4 2P	160659	Veículo sofreu uma colisão e capotamento.	10/08/2025	Isabelli	Sinistro	Corretiva	Aprovado	 R$ 13.750,00 	 R$ 13.750,00 	SMG5	MERCADO LIVRE	Sinistro	Em diagnóstico		99	Fora do Prazo	GR Car	CAMILA	Ago	SC (POÇOS DE CALDAS) SMG5
		RVQ2D86	MASTER FURGAO L1	N/E	Motor 	20/01/2025	Carla I.	Manutenção	Corretiva	Aprovado			SSP16	MERCADO LIVRE 	Motor	17/11/2025		301	Fora do Prazo	Estacionamento da Coca/MuriTruck	CAMILA	Jan	SC (CARAGUATATUBA) SSP16
Sim		QPC5I33	MASTER FURGAO L1	N/E	Veículo sofreu uma colisão frontal, montando já libera hoje.	16/05/2025	Isabelli	Sinistro	Corretiva	Aprovado	 R$ 5.304,20 	 R$ 5.304,20 	SSC3	MERCADO LIVRE	Sinistro	21/11/2025		185	Fora do Prazo	FSP	GABRIELI	Set	SC (BLUMENAU) SSC3
Sim		SVT9G70	MASTER FURGAO L1	47465	Colisão dianteira grave. Aguardando peça já solicitadas, que chegrarão dia 15/10/2025	12/06/2025	Isabelli	Sinistro	Corretiva	Aprovado	 R$ 46.000,00 	 R$ 29.429,00 	EPR6	MERCADO LIVRE	Sinistro	19/11/2025		158	Fora do Prazo	FSP	ALINE	Set	XPT (SAO MATEUS DO SUL) EPR6/SPR7
		SGI8I22	TRANSIT FURGÃO	24826	Colisão frontal, efetuando nova cotação na RRW.	28/06/2025	Vinicius 	Sinistro	Corretiva	Aprovado	 R$ 5.000,00 	 R$ 5.000,00 	SSP30	MERCADO LIVRE	Sinistro	19/11/2025		142	Fora do Prazo	Helena Maria	Claudia	Jun	SC (MEGA GUARULHOS) SSP30
		SFW2B76	TRANSIT FURGÃO	17296	Colisão traseira, coluna do baú.	12/05/2025	Vinicius 	Sinistro	Corretiva	Aprovado			SSC5	MERCADO LIVRE	Sinistro	28/12/2025		189	Fora do Prazo	Safety Car	Alessandra	Set	SC (CRICIUMA) SSC5
Sim		GFB0H75	Sprinter 313	79000	Aguardando Aprovação serviço de bico injetores	24/01/2025	Luana	Manutenção	Corretiva	Aprovado	 R$ 23.000,00 	 R$ 17.000,00 	SSP28	MERCADO LIVRE	Em Manutenção	21/11/2025		297	Fora do Prazo	Injemec	JOAO VITOR	Jan	SC (JALES) SSP28
		SGH0H20	TRANSIT FURGÃO	66248	Bomba e Bico Injetor	13/10/2025	Hillary	Manutenção	Corretiva	Aprovado			SRS10	MERCADO LIVRE	Em Manutenção	17/11/2025		35	Fora do Prazo	Ford Amazon Novo Hamburgo	FERNANDA	Out	SC (LAJEADO) SRS10
		SGH8H56	TRANSIT FURGÃO	97608	Bomba e Bico Injetor	13/10/2025	Hillary	Manutenção	Corretiva	Aprovado			SRS10	MERCADO LIVRE	Em Manutenção	17/11/2025		35	Fora do Prazo	Ford Lajeado	FERNANDA	Out	SC (LAJEADO) SRS10
		SFT5A73	TRANSIT FURGÃO	55792	Motorista colidiu a nossa Van em um poste por desatenção	03/10/2025	Isabelli	Sinistro	Corretiva	Aprovado	 R$ 2.400,00 	 R$ 2.400,00 	SSP22	MERCADO LIVRE	Sinistro	21/11/2025		45	Fora do Prazo	Funilaria Athaide	MAURICIO	Out	SC (SAO CARLOS) SSP22
		RNP6E45	Master Furgão 8m³	120931	Motor	17/06/2025	Natallia	Manutenção	Corretiva	Aprovado			SRS8	MERCADO LIVRE	Motor	Aguardando pagamento		153	Fora do Prazo	Safety Car	ALESSANDRA	Jun	SC (SAPUCAIA) SRS8
		GJG8C81	Sprinter 313	N/D	2° via de chave, motorista passou por cima da mesma.	28/10/2025	Vinicius 	Sinistro	Corretiva	Aprovado	 R$ -   	 R$ -   	FMS09	SHOPEE	Sinistro	21/11/2025		20	Fora do Prazo	Denigris (São Bernardo do Campo)	Kimberlly	Out	FMS09 SÃO PAULO (SP)
		RUM2B60	Fiorino Endurance Evo 1.4 2P	206871	Suspensão, Freio dianteiro	11/11/2025	Luana	Manutenção	Corretiva	Aprovado			SSP28	MERCADO LIVRE	Em Manutenção	18/11/2025		6	Fora do Prazo	Injemec	JOAO VITOR	Nov	SC (JALES) SSP28
	6797882	SDQ2A43	Kangoo Z.E. MAXI 5 Lugares 2P	78322	Alinhamento / Balanceamento, suspensão e  pneus 	03/11/2025	Carla I.	Manutenção	Corretiva	Negociando			SSP15	MERCADO LIVRE	Em Manutenção	18/11/2025		14	Fora do Prazo	WM RENOVADORA (Localiza)	NATANAEL	Out.	SC (SANTOS) SSP15
	6795801	SDQ3A32	Kangoo Z.E. MAXI 5 Lugares 2P	60490	Manunteção de rotina, preventiva 	07/11/2025	Carla I.	Manutenção	Preventiva	Aprovado			SSP4	MERCADO LIVRE	Em Manutenção	18/11/2025		10	Fora do Prazo	OFICINA DO BETO (Localiza)	Marcio	Nov	SC (RIBEIRAO PRETO) SSP4
